accuracy,time,region,object,subject,date,probe
0.39999999999999997,-1.75,PERI 35,2,459601,20240409,probe00
0.5666666666666667,-1.7,PERI 35,2,459601,20240409,probe00
0.4333333333333333,-1.65,PERI 35,2,459601,20240409,probe00
0.5333333333333333,-1.5999999999999999,PERI 35,2,459601,20240409,probe00
0.5666666666666667,-1.5499999999999998,PERI 35,2,459601,20240409,probe00
0.36666666666666664,-1.4999999999999998,PERI 35,2,459601,20240409,probe00
0.3666666666666666,-1.4499999999999997,PERI 35,2,459601,20240409,probe00
0.5333333333333333,-1.3999999999999997,PERI 35,2,459601,20240409,probe00
0.5666666666666667,-1.3499999999999996,PERI 35,2,459601,20240409,probe00
0.5333333333333333,-1.2999999999999996,PERI 35,2,459601,20240409,probe00
0.5666666666666667,-1.2499999999999996,PERI 35,2,459601,20240409,probe00
0.4666666666666667,-1.1999999999999995,PERI 35,2,459601,20240409,probe00
0.4666666666666666,-1.1499999999999995,PERI 35,2,459601,20240409,probe00
0.4,-1.0999999999999994,PERI 35,2,459601,20240409,probe00
0.36666666666666664,-1.0499999999999994,PERI 35,2,459601,20240409,probe00
0.23333333333333334,-0.9999999999999993,PERI 35,2,459601,20240409,probe00
0.36666666666666664,-0.9499999999999993,PERI 35,2,459601,20240409,probe00
0.3,-0.8999999999999992,PERI 35,2,459601,20240409,probe00
0.26666666666666666,-0.8499999999999992,PERI 35,2,459601,20240409,probe00
0.5333333333333334,-0.7999999999999992,PERI 35,2,459601,20240409,probe00
0.4333333333333333,-0.7499999999999991,PERI 35,2,459601,20240409,probe00
0.36666666666666664,-0.6999999999999991,PERI 35,2,459601,20240409,probe00
0.3,-0.649999999999999,PERI 35,2,459601,20240409,probe00
0.5333333333333333,-0.599999999999999,PERI 35,2,459601,20240409,probe00
0.4666666666666666,-0.5499999999999989,PERI 35,2,459601,20240409,probe00
0.4333333333333333,-0.4999999999999989,PERI 35,2,459601,20240409,probe00
0.4333333333333333,-0.44999999999999885,PERI 35,2,459601,20240409,probe00
0.2,-0.3999999999999988,PERI 35,2,459601,20240409,probe00
0.5333333333333333,-0.34999999999999876,PERI 35,2,459601,20240409,probe00
0.4333333333333333,-0.2999999999999987,PERI 35,2,459601,20240409,probe00
0.3666666666666667,-0.24999999999999867,PERI 35,2,459601,20240409,probe00
0.36666666666666664,-0.19999999999999862,PERI 35,2,459601,20240409,probe00
0.4666666666666666,-0.14999999999999858,PERI 35,2,459601,20240409,probe00
0.3666666666666667,-0.09999999999999853,PERI 35,2,459601,20240409,probe00
0.5,-0.04999999999999849,PERI 35,2,459601,20240409,probe00
0.29999999999999993,1.5543122344752192e-15,PERI 35,2,459601,20240409,probe00
0.2333333333333333,0.0500000000000016,PERI 35,2,459601,20240409,probe00
0.4,0.10000000000000164,PERI 35,2,459601,20240409,probe00
0.4666666666666666,0.1500000000000017,PERI 35,2,459601,20240409,probe00
0.5333333333333333,0.2000000000000015,PERI 35,2,459601,20240409,probe00
0.6,0.2500000000000018,PERI 35,2,459601,20240409,probe00
0.3333333333333333,0.30000000000000204,PERI 35,2,459601,20240409,probe00
0.4666666666666667,0.35000000000000187,PERI 35,2,459601,20240409,probe00
0.33333333333333337,0.4000000000000017,PERI 35,2,459601,20240409,probe00
0.3666666666666667,0.45000000000000195,PERI 35,2,459601,20240409,probe00
0.3333333333333333,0.5000000000000022,PERI 35,2,459601,20240409,probe00
0.33333333333333337,0.550000000000002,PERI 35,2,459601,20240409,probe00
0.5,0.6000000000000019,PERI 35,2,459601,20240409,probe00
0.7333333333333333,0.6500000000000021,PERI 35,2,459601,20240409,probe00
0.5999999999999999,0.7000000000000024,PERI 35,2,459601,20240409,probe00
0.4333333333333333,0.7500000000000022,PERI 35,2,459601,20240409,probe00
0.36666666666666664,0.800000000000002,PERI 35,2,459601,20240409,probe00
0.5666666666666667,0.8500000000000023,PERI 35,2,459601,20240409,probe00
0.3,0.9000000000000026,PERI 35,2,459601,20240409,probe00
0.36666666666666664,0.9500000000000024,PERI 35,2,459601,20240409,probe00
0.6,1.0000000000000022,PERI 35,2,459601,20240409,probe00
0.3333333333333333,1.0500000000000025,PERI 35,2,459601,20240409,probe00
0.33333333333333337,1.1000000000000028,PERI 35,2,459601,20240409,probe00
0.3666666666666667,1.1500000000000026,PERI 35,2,459601,20240409,probe00
0.4666666666666667,1.2000000000000024,PERI 35,2,459601,20240409,probe00
0.4999999999999999,1.2500000000000027,PERI 35,2,459601,20240409,probe00
0.6,1.300000000000003,PERI 35,2,459601,20240409,probe00
0.5,1.3500000000000028,PERI 35,2,459601,20240409,probe00
0.6666666666666667,1.4000000000000026,PERI 35,2,459601,20240409,probe00
0.5333333333333333,1.4500000000000028,PERI 35,2,459601,20240409,probe00
0.4999999999999999,1.500000000000003,PERI 35,2,459601,20240409,probe00
0.5333333333333333,1.550000000000003,PERI 35,2,459601,20240409,probe00
0.5666666666666667,1.6000000000000028,PERI 35,2,459601,20240409,probe00
0.4666666666666666,1.650000000000003,PERI 35,2,459601,20240409,probe00
0.4333333333333333,1.7000000000000033,PERI 35,2,459601,20240409,probe00
0.4333333333333333,1.750000000000003,PERI 35,2,459601,20240409,probe00
0.29999999999999993,1.800000000000003,PERI 35,2,459601,20240409,probe00
0.3666666666666667,1.8500000000000032,PERI 35,2,459601,20240409,probe00
0.5,-1.85,PERI 36,1,459601,20240409,probe00
0.4333333333333333,-1.8,PERI 36,1,459601,20240409,probe00
0.3333333333333333,-1.75,PERI 36,1,459601,20240409,probe00
0.2666666666666667,-1.7,PERI 36,1,459601,20240409,probe00
0.5666666666666667,-1.65,PERI 36,1,459601,20240409,probe00
0.4333333333333333,-1.5999999999999999,PERI 36,1,459601,20240409,probe00
0.6333333333333333,-1.5499999999999998,PERI 36,1,459601,20240409,probe00
0.6666666666666666,-1.4999999999999998,PERI 36,1,459601,20240409,probe00
0.5,-1.4499999999999997,PERI 36,1,459601,20240409,probe00
0.4,-1.3999999999999997,PERI 36,1,459601,20240409,probe00
0.4666666666666666,-1.3499999999999996,PERI 36,1,459601,20240409,probe00
0.36666666666666664,-1.2999999999999996,PERI 36,1,459601,20240409,probe00
0.4333333333333333,-1.2499999999999996,PERI 36,1,459601,20240409,probe00
0.3333333333333333,-1.1999999999999995,PERI 36,1,459601,20240409,probe00
0.4,-1.1499999999999995,PERI 36,1,459601,20240409,probe00
0.4333333333333333,-1.0999999999999994,PERI 36,1,459601,20240409,probe00
0.5,-1.0499999999999994,PERI 36,1,459601,20240409,probe00
0.6666666666666667,-0.9999999999999993,PERI 36,1,459601,20240409,probe00
0.5333333333333333,-0.9499999999999993,PERI 36,1,459601,20240409,probe00
0.6333333333333334,-0.8999999999999992,PERI 36,1,459601,20240409,probe00
0.5999999999999999,-0.8499999999999992,PERI 36,1,459601,20240409,probe00
0.5333333333333333,-0.7999999999999992,PERI 36,1,459601,20240409,probe00
0.6,-0.7499999999999991,PERI 36,1,459601,20240409,probe00
0.6333333333333333,-0.6999999999999991,PERI 36,1,459601,20240409,probe00
0.6666666666666666,-0.649999999999999,PERI 36,1,459601,20240409,probe00
0.6,-0.599999999999999,PERI 36,1,459601,20240409,probe00
0.5999999999999999,-0.5499999999999989,PERI 36,1,459601,20240409,probe00
0.6333333333333333,-0.4999999999999989,PERI 36,1,459601,20240409,probe00
0.4333333333333333,-0.44999999999999885,PERI 36,1,459601,20240409,probe00
0.5333333333333333,-0.3999999999999988,PERI 36,1,459601,20240409,probe00
0.5666666666666667,-0.34999999999999876,PERI 36,1,459601,20240409,probe00
0.3333333333333333,-0.2999999999999987,PERI 36,1,459601,20240409,probe00
0.4333333333333333,-0.24999999999999867,PERI 36,1,459601,20240409,probe00
0.5333333333333333,-0.19999999999999862,PERI 36,1,459601,20240409,probe00
0.3333333333333333,-0.14999999999999858,PERI 36,1,459601,20240409,probe00
0.16666666666666666,-0.09999999999999853,PERI 36,1,459601,20240409,probe00
0.4666666666666666,-0.04999999999999849,PERI 36,1,459601,20240409,probe00
0.16666666666666666,1.5543122344752192e-15,PERI 36,1,459601,20240409,probe00
0.5666666666666667,0.0500000000000016,PERI 36,1,459601,20240409,probe00
0.36666666666666664,0.10000000000000164,PERI 36,1,459601,20240409,probe00
0.3666666666666667,0.1500000000000017,PERI 36,1,459601,20240409,probe00
0.4333333333333333,0.2000000000000015,PERI 36,1,459601,20240409,probe00
0.4999999999999999,0.2500000000000018,PERI 36,1,459601,20240409,probe00
0.4999999999999999,0.30000000000000204,PERI 36,1,459601,20240409,probe00
0.4666666666666667,0.35000000000000187,PERI 36,1,459601,20240409,probe00
0.3,0.4000000000000017,PERI 36,1,459601,20240409,probe00
0.4333333333333333,0.45000000000000195,PERI 36,1,459601,20240409,probe00
0.2333333333333333,0.5000000000000022,PERI 36,1,459601,20240409,probe00
0.39999999999999997,0.550000000000002,PERI 36,1,459601,20240409,probe00
0.6333333333333333,0.6000000000000019,PERI 36,1,459601,20240409,probe00
0.5333333333333333,0.6500000000000021,PERI 36,1,459601,20240409,probe00
0.4666666666666667,0.7000000000000024,PERI 36,1,459601,20240409,probe00
0.5666666666666667,0.7500000000000022,PERI 36,1,459601,20240409,probe00
0.5666666666666667,0.800000000000002,PERI 36,1,459601,20240409,probe00
0.6,0.8500000000000023,PERI 36,1,459601,20240409,probe00
0.7666666666666667,0.9000000000000026,PERI 36,1,459601,20240409,probe00
0.6,0.9500000000000024,PERI 36,1,459601,20240409,probe00
0.6666666666666667,1.0000000000000022,PERI 36,1,459601,20240409,probe00
0.5666666666666667,1.0500000000000025,PERI 36,1,459601,20240409,probe00
0.6,1.1000000000000028,PERI 36,1,459601,20240409,probe00
0.6,1.1500000000000026,PERI 36,1,459601,20240409,probe00
0.5666666666666667,1.2000000000000024,PERI 36,1,459601,20240409,probe00
0.5333333333333333,1.2500000000000027,PERI 36,1,459601,20240409,probe00
0.5,1.300000000000003,PERI 36,1,459601,20240409,probe00
0.5333333333333333,1.3500000000000028,PERI 36,1,459601,20240409,probe00
0.3666666666666667,1.4000000000000026,PERI 36,1,459601,20240409,probe00
0.4,1.4500000000000028,PERI 36,1,459601,20240409,probe00
0.4666666666666666,1.500000000000003,PERI 36,1,459601,20240409,probe00
0.4333333333333333,1.550000000000003,PERI 36,1,459601,20240409,probe00
0.4666666666666666,1.6000000000000028,PERI 36,1,459601,20240409,probe00
0.6,1.650000000000003,PERI 36,1,459601,20240409,probe00
0.5666666666666667,1.7000000000000033,PERI 36,1,459601,20240409,probe00
0.7333333333333334,1.750000000000003,PERI 36,1,459601,20240409,probe00
0.5666666666666667,1.800000000000003,PERI 36,1,459601,20240409,probe00
0.6333333333333334,1.8500000000000032,PERI 36,1,459601,20240409,probe00
0.4666666666666666,-1.85,PERI 36,2,459601,20240409,probe00
0.4333333333333333,-1.8,PERI 36,2,459601,20240409,probe00
0.6,-1.75,PERI 36,2,459601,20240409,probe00
0.6,-1.7,PERI 36,2,459601,20240409,probe00
0.6666666666666667,-1.65,PERI 36,2,459601,20240409,probe00
0.5333333333333333,-1.5999999999999999,PERI 36,2,459601,20240409,probe00
0.5,-1.5499999999999998,PERI 36,2,459601,20240409,probe00
0.5,-1.4999999999999998,PERI 36,2,459601,20240409,probe00
0.4666666666666666,-1.4499999999999997,PERI 36,2,459601,20240409,probe00
0.5,-1.3999999999999997,PERI 36,2,459601,20240409,probe00
0.5,-1.3499999999999996,PERI 36,2,459601,20240409,probe00
0.5666666666666667,-1.2999999999999996,PERI 36,2,459601,20240409,probe00
0.4666666666666667,-1.2499999999999996,PERI 36,2,459601,20240409,probe00
0.4666666666666667,-1.1999999999999995,PERI 36,2,459601,20240409,probe00
0.4333333333333333,-1.1499999999999995,PERI 36,2,459601,20240409,probe00
0.4666666666666666,-1.0999999999999994,PERI 36,2,459601,20240409,probe00
0.4666666666666666,-1.0499999999999994,PERI 36,2,459601,20240409,probe00
0.36666666666666664,-0.9999999999999993,PERI 36,2,459601,20240409,probe00
0.36666666666666664,-0.9499999999999993,PERI 36,2,459601,20240409,probe00
0.33333333333333337,-0.8999999999999992,PERI 36,2,459601,20240409,probe00
0.4,-0.8499999999999992,PERI 36,2,459601,20240409,probe00
0.36666666666666664,-0.7999999999999992,PERI 36,2,459601,20240409,probe00
0.26666666666666666,-0.7499999999999991,PERI 36,2,459601,20240409,probe00
0.16666666666666666,-0.6999999999999991,PERI 36,2,459601,20240409,probe00
0.4333333333333334,-0.649999999999999,PERI 36,2,459601,20240409,probe00
0.4,-0.599999999999999,PERI 36,2,459601,20240409,probe00
0.5,-0.5499999999999989,PERI 36,2,459601,20240409,probe00
0.3666666666666667,-0.4999999999999989,PERI 36,2,459601,20240409,probe00
0.5333333333333332,-0.44999999999999885,PERI 36,2,459601,20240409,probe00
0.33333333333333337,-0.3999999999999988,PERI 36,2,459601,20240409,probe00
0.4333333333333333,-0.34999999999999876,PERI 36,2,459601,20240409,probe00
0.2333333333333333,-0.2999999999999987,PERI 36,2,459601,20240409,probe00
0.2333333333333333,-0.24999999999999867,PERI 36,2,459601,20240409,probe00
0.36666666666666664,-0.19999999999999862,PERI 36,2,459601,20240409,probe00
0.5,-0.14999999999999858,PERI 36,2,459601,20240409,probe00
0.4333333333333333,-0.09999999999999853,PERI 36,2,459601,20240409,probe00
0.3,-0.04999999999999849,PERI 36,2,459601,20240409,probe00
0.3333333333333333,1.5543122344752192e-15,PERI 36,2,459601,20240409,probe00
0.4333333333333333,0.0500000000000016,PERI 36,2,459601,20240409,probe00
0.26666666666666666,0.10000000000000164,PERI 36,2,459601,20240409,probe00
0.4666666666666666,0.1500000000000017,PERI 36,2,459601,20240409,probe00
0.4333333333333333,0.2000000000000015,PERI 36,2,459601,20240409,probe00
0.5,0.2500000000000018,PERI 36,2,459601,20240409,probe00
0.5999999999999999,0.30000000000000204,PERI 36,2,459601,20240409,probe00
0.6333333333333333,0.35000000000000187,PERI 36,2,459601,20240409,probe00
0.4333333333333333,0.4000000000000017,PERI 36,2,459601,20240409,probe00
0.4,0.45000000000000195,PERI 36,2,459601,20240409,probe00
0.4666666666666666,0.5000000000000022,PERI 36,2,459601,20240409,probe00
0.36666666666666664,0.550000000000002,PERI 36,2,459601,20240409,probe00
0.4666666666666667,0.6000000000000019,PERI 36,2,459601,20240409,probe00
0.4333333333333333,0.6500000000000021,PERI 36,2,459601,20240409,probe00
0.5666666666666667,0.7000000000000024,PERI 36,2,459601,20240409,probe00
0.4999999999999999,0.7500000000000022,PERI 36,2,459601,20240409,probe00
0.36666666666666664,0.800000000000002,PERI 36,2,459601,20240409,probe00
0.6,0.8500000000000023,PERI 36,2,459601,20240409,probe00
0.6333333333333333,0.9000000000000026,PERI 36,2,459601,20240409,probe00
0.6666666666666667,0.9500000000000024,PERI 36,2,459601,20240409,probe00
0.6666666666666667,1.0000000000000022,PERI 36,2,459601,20240409,probe00
0.5999999999999999,1.0500000000000025,PERI 36,2,459601,20240409,probe00
0.5666666666666667,1.1000000000000028,PERI 36,2,459601,20240409,probe00
0.36666666666666664,1.1500000000000026,PERI 36,2,459601,20240409,probe00
0.39999999999999997,1.2000000000000024,PERI 36,2,459601,20240409,probe00
0.6333333333333334,1.2500000000000027,PERI 36,2,459601,20240409,probe00
0.5666666666666667,1.300000000000003,PERI 36,2,459601,20240409,probe00
0.5333333333333333,1.3500000000000028,PERI 36,2,459601,20240409,probe00
0.39999999999999997,1.4000000000000026,PERI 36,2,459601,20240409,probe00
0.4999999999999999,1.4500000000000028,PERI 36,2,459601,20240409,probe00
0.6333333333333333,1.500000000000003,PERI 36,2,459601,20240409,probe00
0.4999999999999999,1.550000000000003,PERI 36,2,459601,20240409,probe00
0.4,1.6000000000000028,PERI 36,2,459601,20240409,probe00
0.5666666666666667,1.650000000000003,PERI 36,2,459601,20240409,probe00
0.4,1.7000000000000033,PERI 36,2,459601,20240409,probe00
0.5,1.750000000000003,PERI 36,2,459601,20240409,probe00
0.6666666666666667,1.800000000000003,PERI 36,2,459601,20240409,probe00
0.4333333333333333,1.8500000000000032,PERI 36,2,459601,20240409,probe00
0.4333333333333333,-1.85,TEa,1,459601,20240409,probe00
0.4,-1.8,TEa,1,459601,20240409,probe00
0.6,-1.75,TEa,1,459601,20240409,probe00
0.4333333333333334,-1.7,TEa,1,459601,20240409,probe00
0.3333333333333333,-1.65,TEa,1,459601,20240409,probe00
0.4999999999999999,-1.5999999999999999,TEa,1,459601,20240409,probe00
0.4666666666666666,-1.5499999999999998,TEa,1,459601,20240409,probe00
0.3,-1.4999999999999998,TEa,1,459601,20240409,probe00
0.4,-1.4499999999999997,TEa,1,459601,20240409,probe00
0.26666666666666666,-1.3999999999999997,TEa,1,459601,20240409,probe00
0.4333333333333333,-1.3499999999999996,TEa,1,459601,20240409,probe00
0.5333333333333333,-1.2999999999999996,TEa,1,459601,20240409,probe00
0.5333333333333333,-1.2499999999999996,TEa,1,459601,20240409,probe00
0.4666666666666666,-1.1999999999999995,TEa,1,459601,20240409,probe00
0.3666666666666667,-1.1499999999999995,TEa,1,459601,20240409,probe00
0.39999999999999997,-1.0999999999999994,TEa,1,459601,20240409,probe00
0.26666666666666666,-1.0499999999999994,TEa,1,459601,20240409,probe00
0.4666666666666666,-0.9999999999999993,TEa,1,459601,20240409,probe00
0.36666666666666664,-0.9499999999999993,TEa,1,459601,20240409,probe00
0.4333333333333333,-0.8999999999999992,TEa,1,459601,20240409,probe00
0.4666666666666666,-0.8499999999999992,TEa,1,459601,20240409,probe00
0.3666666666666667,-0.7999999999999992,TEa,1,459601,20240409,probe00
0.36666666666666664,-0.7499999999999991,TEa,1,459601,20240409,probe00
0.33333333333333337,-0.6999999999999991,TEa,1,459601,20240409,probe00
0.5333333333333333,-0.649999999999999,TEa,1,459601,20240409,probe00
0.6666666666666667,-0.599999999999999,TEa,1,459601,20240409,probe00
0.4333333333333333,-0.5499999999999989,TEa,1,459601,20240409,probe00
0.36666666666666664,-0.4999999999999989,TEa,1,459601,20240409,probe00
0.5,-0.44999999999999885,TEa,1,459601,20240409,probe00
0.5333333333333334,-0.3999999999999988,TEa,1,459601,20240409,probe00
0.4999999999999999,-0.34999999999999876,TEa,1,459601,20240409,probe00
0.5666666666666667,-0.2999999999999987,TEa,1,459601,20240409,probe00
0.2333333333333333,-0.24999999999999867,TEa,1,459601,20240409,probe00
0.3,-0.19999999999999862,TEa,1,459601,20240409,probe00
0.4333333333333333,-0.14999999999999858,TEa,1,459601,20240409,probe00
0.5333333333333333,-0.09999999999999853,TEa,1,459601,20240409,probe00
0.4,-0.04999999999999849,TEa,1,459601,20240409,probe00
0.36666666666666664,1.5543122344752192e-15,TEa,1,459601,20240409,probe00
0.5333333333333333,0.0500000000000016,TEa,1,459601,20240409,probe00
0.4333333333333333,0.10000000000000164,TEa,1,459601,20240409,probe00
0.5999999999999999,0.1500000000000017,TEa,1,459601,20240409,probe00
0.5,0.2000000000000015,TEa,1,459601,20240409,probe00
0.4666666666666666,0.2500000000000018,TEa,1,459601,20240409,probe00
0.4333333333333333,0.30000000000000204,TEa,1,459601,20240409,probe00
0.5333333333333333,0.35000000000000187,TEa,1,459601,20240409,probe00
0.6,0.4000000000000017,TEa,1,459601,20240409,probe00
0.6333333333333334,0.45000000000000195,TEa,1,459601,20240409,probe00
0.4666666666666666,0.5000000000000022,TEa,1,459601,20240409,probe00
0.3666666666666666,0.550000000000002,TEa,1,459601,20240409,probe00
0.6,0.6000000000000019,TEa,1,459601,20240409,probe00
0.7,0.6500000000000021,TEa,1,459601,20240409,probe00
0.3,0.7000000000000024,TEa,1,459601,20240409,probe00
0.3333333333333333,0.7500000000000022,TEa,1,459601,20240409,probe00
0.4,0.800000000000002,TEa,1,459601,20240409,probe00
0.4666666666666666,0.8500000000000023,TEa,1,459601,20240409,probe00
0.5,0.9000000000000026,TEa,1,459601,20240409,probe00
0.3333333333333333,0.9500000000000024,TEa,1,459601,20240409,probe00
0.4333333333333333,1.0000000000000022,TEa,1,459601,20240409,probe00
0.4666666666666666,1.0500000000000025,TEa,1,459601,20240409,probe00
0.4333333333333333,1.1000000000000028,TEa,1,459601,20240409,probe00
0.5333333333333333,1.1500000000000026,TEa,1,459601,20240409,probe00
0.4666666666666666,1.2000000000000024,TEa,1,459601,20240409,probe00
0.6666666666666667,1.2500000000000027,TEa,1,459601,20240409,probe00
0.6333333333333333,1.300000000000003,TEa,1,459601,20240409,probe00
0.5333333333333333,1.3500000000000028,TEa,1,459601,20240409,probe00
0.4,1.4000000000000026,TEa,1,459601,20240409,probe00
0.5,1.4500000000000028,TEa,1,459601,20240409,probe00
0.5,1.500000000000003,TEa,1,459601,20240409,probe00
0.39999999999999997,1.550000000000003,TEa,1,459601,20240409,probe00
0.4999999999999999,1.6000000000000028,TEa,1,459601,20240409,probe00
0.4333333333333333,1.650000000000003,TEa,1,459601,20240409,probe00
0.7,1.7000000000000033,TEa,1,459601,20240409,probe00
0.6,1.750000000000003,TEa,1,459601,20240409,probe00
0.6,1.800000000000003,TEa,1,459601,20240409,probe00
0.5,1.8500000000000032,TEa,1,459601,20240409,probe00
0.3666666666666667,-1.85,TEa,2,459601,20240409,probe00
0.5333333333333334,-1.8,TEa,2,459601,20240409,probe00
0.4666666666666666,-1.75,TEa,2,459601,20240409,probe00
0.4,-1.7,TEa,2,459601,20240409,probe00
0.39999999999999997,-1.65,TEa,2,459601,20240409,probe00
0.3333333333333333,-1.5999999999999999,TEa,2,459601,20240409,probe00
0.5,-1.5499999999999998,TEa,2,459601,20240409,probe00
0.4666666666666666,-1.4999999999999998,TEa,2,459601,20240409,probe00
0.4333333333333333,-1.4499999999999997,TEa,2,459601,20240409,probe00
0.6333333333333333,-1.3999999999999997,TEa,2,459601,20240409,probe00
0.5333333333333333,-1.3499999999999996,TEa,2,459601,20240409,probe00
0.6666666666666666,-1.2999999999999996,TEa,2,459601,20240409,probe00
0.4333333333333333,-1.2499999999999996,TEa,2,459601,20240409,probe00
0.5333333333333332,-1.1999999999999995,TEa,2,459601,20240409,probe00
0.4666666666666666,-1.1499999999999995,TEa,2,459601,20240409,probe00
0.6666666666666667,-1.0999999999999994,TEa,2,459601,20240409,probe00
0.4333333333333333,-1.0499999999999994,TEa,2,459601,20240409,probe00
0.3333333333333333,-0.9999999999999993,TEa,2,459601,20240409,probe00
